request_id,flow,size_bytes,push_cycle,pop_cycle,dropped
1,1,48,0,20,false
2,2,48,0,27,false
3,2,48,4,34,false
4,1,48,8,24,false
5,2,48,8,41,false
6,2,48,11,48,false
7,1,48,15,31,false
8,2,48,15,55,false
9,2,48,19,61,false
10,1,48,22,38,false
11,2,48,22,64,false
12,2,48,26,71,false
13,1,48,30,45,false
14,2,48,30,78,false
15,2,48,34,85,false
16,1,48,38,51,false
17,2,48,38,91,false
18,2,48,41,94,false
19,1,48,45,58,false
20,2,48,45,101,false
21,2,48,49,108,false
22,1,48,52,68,false
23,2,48,52,115,false
24,2,48,56,121,false
25,1,48,60,75,false
26,2,48,60,124,false
27,2,48,64,131,false
28,1,48,68,81,false
29,2,48,68,138,false
30,2,48,71,145,false
31,1,48,75,88,false
32,2,48,75,151,false
33,2,48,79,154,false
34,1,48,82,98,false
35,2,48,82,161,false
36,2,48,86,168,false
37,1,48,90,105,false
38,2,48,90,175,false
39,2,48,94,181,false
40,1,48,98,111,false
41,2,48,98,184,false
42,2,48,101,191,false
43,1,48,105,118,false
44,2,48,105,198,false
45,2,48,109,205,false
46,1,48,112,128,false
47,2,48,112,211,false
48,2,48,116,214,false
49,1,48,120,135,false
50,2,48,120,221,false
51,2,48,124,228,false
52,1,48,128,141,false
53,2,48,128,235,false
54,2,48,131,241,false
55,1,48,135,148,false
56,2,48,135,244,false
57,2,48,139,251,false
58,1,48,142,158,false
59,2,48,142,258,false
60,2,48,146,265,false
61,1,48,150,165,false
62,2,48,150,271,false
63,2,48,154,274,false
64,1,48,158,171,false
65,2,48,158,281,false
66,2,48,161,288,false
67,1,48,165,178,false
68,2,48,165,295,false
69,2,48,169,301,false
70,1,48,172,188,false
71,2,48,172,304,false
72,2,48,176,311,false
73,1,48,180,195,false
74,2,48,180,318,false
75,2,48,184,325,false
76,1,48,188,201,false
77,2,48,188,331,false
78,2,48,191,334,false
79,1,48,195,208,false
80,2,48,195,341,false
81,2,48,199,348,false
82,1,48,202,218,false
83,2,48,202,355,false
84,2,48,206,361,false
85,1,48,210,225,false
86,2,48,210,364,false
87,2,48,214,371,false
88,1,48,218,231,false
89,2,48,218,378,false
90,2,48,221,385,false
91,1,48,225,238,false
92,2,48,225,391,false
93,2,48,229,394,false
94,1,48,232,248,false
95,2,48,232,401,false
96,2,48,236,408,false
97,1,48,240,255,false
98,2,48,240,415,false
99,2,48,244,421,false
100,1,48,248,261,false
101,2,48,248,424,false
102,2,48,251,431,false
103,1,48,255,268,false
104,2,48,255,438,false
105,2,48,259,445,false
106,1,48,262,278,false
107,2,48,262,451,false
108,2,48,266,454,false
109,1,48,270,285,false
110,2,48,270,461,false
111,2,48,274,468,false
112,1,48,278,291,false
113,2,48,278,475,false
114,2,48,281,481,false
115,1,48,285,298,false
116,2,48,285,484,false
117,2,48,289,491,false
118,1,48,292,308,false
119,2,48,292,498,false
120,2,48,296,505,false
121,1,48,300,315,false
122,2,48,300,511,false
123,2,48,304,514,false
124,1,48,308,321,false
125,2,48,308,521,false
126,2,48,311,528,false
127,1,48,315,328,false
128,2,48,315,535,false
129,2,48,319,541,false
130,1,48,322,338,false
131,2,48,322,544,false
132,2,48,326,551,false
133,1,48,330,345,false
134,2,48,330,558,false
135,2,48,334,565,false
136,1,48,338,351,false
137,2,48,338,571,false
138,2,48,341,574,false
139,1,48,345,358,false
140,2,48,345,581,false
141,2,48,349,588,false
142,1,48,352,368,false
143,2,48,352,595,false
144,2,48,356,601,false
145,1,48,360,375,false
146,2,48,360,604,false
147,2,48,364,611,false
148,1,48,368,381,false
149,2,48,368,618,false
150,2,48,371,625,false
151,1,48,375,388,false
152,2,48,375,631,false
153,2,48,379,634,false
154,1,48,382,398,false
155,2,48,382,641,false
156,2,48,386,648,false
157,1,48,390,405,false
158,2,48,390,655,false
159,2,48,394,661,false
160,1,48,398,411,false
161,2,48,398,664,false
162,2,48,401,671,false
163,1,48,405,418,false
164,2,48,405,678,false
165,2,48,409,685,false
166,1,48,412,428,false
167,2,48,412,691,false
168,2,48,416,694,false
169,1,48,420,435,false
170,2,48,420,701,false
171,2,48,424,708,false
172,1,48,428,441,false
173,2,48,428,715,false
174,2,48,431,721,false
175,1,48,435,448,false
176,2,48,435,724,false
177,2,48,439,731,false
178,1,48,442,458,false
179,2,48,442,738,false
180,2,48,446,745,false
181,1,48,450,465,false
182,2,48,450,751,false
183,2,48,454,754,false
184,1,48,458,471,false
185,2,48,458,761,false
186,2,48,461,768,false
187,1,48,465,478,false
188,2,48,465,775,false
189,2,48,469,781,false
190,1,48,472,488,false
191,2,48,472,784,false
192,2,48,476,791,false
193,1,48,480,495,false
194,2,48,480,798,false
195,2,48,484,805,false
196,1,48,488,501,false
197,2,48,488,811,false
198,2,48,491,814,false
199,1,48,495,508,false
200,2,48,495,821,false
201,2,48,499,828,false
202,1,48,502,518,false
203,2,48,502,835,false
204,2,48,506,841,false
205,1,48,510,525,false
206,2,48,510,844,false
207,2,48,514,851,false
208,1,48,518,531,false
209,2,48,518,858,false
210,2,48,521,865,false
211,1,48,525,538,false
212,2,48,525,871,false
213,2,48,529,874,false
214,1,48,532,548,false
215,2,48,532,881,false
216,2,48,536,888,false
217,1,48,540,555,false
218,2,48,540,895,false
219,2,48,544,901,false
220,1,48,548,561,false
221,2,48,548,904,false
222,2,48,551,911,false
223,1,48,555,568,false
224,2,48,555,918,false
225,2,48,559,925,false
226,1,48,562,578,false
227,2,48,562,931,false
228,2,48,566,934,false
229,1,48,570,585,false
230,2,48,570,941,false
231,2,48,574,948,false
232,1,48,578,591,false
233,2,48,578,955,false
234,2,48,581,961,false
235,1,48,585,598,false
236,2,48,585,964,false
237,2,48,589,971,false
238,1,48,592,608,false
239,2,48,592,978,false
240,2,48,596,985,false
241,1,48,600,615,false
242,2,48,600,991,false
243,2,48,604,994,false
244,1,48,608,621,false
245,2,48,608,1001,false
246,2,48,611,1008,false
247,1,48,615,628,false
248,2,48,615,1015,false
249,2,48,619,1021,false
250,1,48,622,638,false
251,2,48,622,1024,false
252,2,48,626,1031,false
253,1,48,630,645,false
254,2,48,630,1038,false
255,2,48,634,1045,false
256,1,48,638,651,false
257,2,48,638,1051,false
258,2,48,641,1054,false
259,1,48,645,658,false
260,2,48,645,1061,false
261,2,48,649,1068,false
262,1,48,652,668,false
263,2,48,652,1075,false
264,2,48,656,1081,false
265,1,48,660,675,false
266,2,48,660,1084,false
267,2,48,664,1091,false
268,1,48,668,681,false
269,2,48,668,1098,false
270,2,48,671,1105,false
271,1,48,675,688,false
272,2,48,675,1111,false
273,2,48,679,1114,false
274,1,48,682,698,false
275,2,48,682,1121,false
276,2,48,686,1128,false
277,1,48,690,705,false
278,2,48,690,1135,false
279,2,48,694,1141,false
280,1,48,698,711,false
281,2,48,698,1144,false
282,2,48,701,1151,false
283,1,48,705,718,false
284,2,48,705,1158,false
285,2,48,709,1165,false
286,1,48,712,728,false
287,2,48,712,1171,false
288,2,48,716,1174,false
289,1,48,720,735,false
290,2,48,720,1181,false
291,2,48,724,1188,false
292,1,48,728,741,false
293,2,48,728,1195,false
294,2,48,731,1201,false
295,1,48,735,748,false
296,2,48,735,1204,false
297,2,48,739,1211,false
298,1,48,742,758,false
299,2,48,742,1218,false
300,2,48,746,1225,false
301,1,48,750,765,false
302,2,48,750,1231,false
303,2,48,754,1234,false
304,1,48,758,771,false
305,2,48,758,1241,false
306,2,48,761,1248,false
307,1,48,765,778,false
308,2,48,765,1255,false
309,2,48,769,1261,false
310,1,48,772,788,false
311,2,48,772,1264,false
312,2,48,776,1271,false
313,1,48,780,795,false
314,2,48,780,1278,false
315,2,48,784,1285,false
316,1,48,788,801,false
317,2,48,788,1291,false
