window_start_cycle,window_end_cycle,time_relative_to_start,total_bytes_per_cycle,total_link_fraction,flow_1_bytes_per_cycle,flow_2_bytes_per_cycle,flow_3_bytes_per_cycle,flow_1_link_fraction,flow_2_link_fraction,flow_3_link_fraction
-219,21,-2100,0,0,0,0,0,0,0,0
-207,33,-2088,0.0161388041716,0.00100867526073,0.014406229874,0.00173257429761,0,0.000900389367127,0.000108285893601,0
-195,45,-2076,0.107153945376,0.00669712158599,0.0799034554684,0.0272504899075,0,0.00499396596678,0.00170315561922,0
-183,57,-2064,0.332552912962,0.0207845570601,0.22438394164,0.108168971322,0,0.0140239963525,0.00676056070763,0
-171,69,-2052,0.741670941927,0.0463544338704,0.469094130669,0.272576811257,0,0.0293183831668,0.0170360507036,0
-159,81,-2040,1.36618585441,0.0853866159007,0.817630249124,0.548555605288,0,0.0511018905702,0.0342847253305,0
-147,93,-2028,2.21466066557,0.138416291598,1.26992825253,0.944732413041,0,0.0793705157831,0.0590457758151,0
-135,105,-2016,3.27609898596,0.204756186623,1.81293230618,1.46316667978,0,0.113308269136,0.0914479174863,0
-123,117,-2004,4.51595339791,0.282247087369,2.42245029964,2.09350309826,0,0.151403143728,0.130843943641,0
-111,129,-1992,5.88343136959,0.367714460599,3.0738290082,2.80960236139,0,0.192114313012,0.175600147587,0
-99,141,-1980,7.31561963843,0.457226227402,3.73052606885,3.58509356958,0,0.233157879303,0.224068348099,0
-87,153,-1968,8.74136305164,0.546335190728,4.36206164398,4.37930140767,0,0.272628852749,0.273706337979,0
-75,165,-1956,10.0926882315,0.630793014468,4.9376889713,5.15499926018,0,0.308605560706,0.322187453761,0
-63,177,-1944,11.3064356374,0.706652227335,5.42999599066,5.87643964669,0,0.339374749416,0.367277477918,0
-51,189,-1932,12.3343895251,0.770899345316,5.82589831768,6.50849120737,0,0.364118644855,0.406780700461,0
-39,201,-1920,13.1471479986,0.821696749913,6.11406936371,7.0330786349,0,0.382129335232,0.439567414681,0
-27,213,-1908,13.7346942455,0.858418390342,6.3004031773,7.43429106817,0,0.393775198581,0.464643191761,0
-15,225,-1896,14.1117857864,0.881986611651,6.39809485523,7.71369093117,0,0.399880928452,0.482105683198,0
-3,237,-1884,14.3114209152,0.894463807202,6.42690506389,7.88451585135,0,0.401681566493,0.492782240709,0
9,249,-1872,14.3854777836,0.899092361475,6.4194970176,7.965980766,0,0.4012185636,0.497873797875,0
21,261,-1860,14.3986356864,0.8999147304,6.40428186603,7.99435382037,0,0.400267616627,0.499647113773,0
33,273,-1848,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
45,285,-1836,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
57,297,-1824,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
69,309,-1812,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
81,321,-1800,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
93,333,-1788,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
105,345,-1776,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
117,357,-1764,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
129,369,-1752,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
141,381,-1740,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
153,393,-1728,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
165,405,-1716,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
177,417,-1704,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
189,429,-1692,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
201,441,-1680,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
213,453,-1668,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
225,465,-1656,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
237,477,-1644,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
249,489,-1632,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
261,501,-1620,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
273,513,-1608,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
285,525,-1596,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
297,537,-1584,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
309,549,-1572,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
321,561,-1560,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
333,573,-1548,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
345,585,-1536,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
357,597,-1524,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
369,609,-1512,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
381,621,-1500,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
393,633,-1488,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
405,645,-1476,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
417,657,-1464,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
429,669,-1452,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
441,681,-1440,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
453,693,-1428,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
465,705,-1416,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
477,717,-1404,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
489,729,-1392,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
501,741,-1380,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
513,753,-1368,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
525,765,-1356,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
537,777,-1344,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
549,789,-1332,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
561,801,-1320,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
573,813,-1308,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
585,825,-1296,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
597,837,-1284,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
609,849,-1272,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
621,861,-1260,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
633,873,-1248,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
645,885,-1236,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
657,897,-1224,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
669,909,-1212,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
681,921,-1200,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
693,933,-1188,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
705,945,-1176,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
717,957,-1164,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
729,969,-1152,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
741,981,-1140,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
753,993,-1128,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
765,1005,-1116,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
777,1017,-1104,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
789,1029,-1092,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
801,1041,-1080,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
813,1053,-1068,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
825,1065,-1056,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
837,1077,-1044,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
849,1089,-1032,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
861,1101,-1020,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
873,1113,-1008,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
885,1125,-996,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
897,1137,-984,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
909,1149,-972,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
921,1161,-960,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
