run,time_relative_to_start,total_link_fraction,flow_1_link_fraction,flow_2_link_fraction,flow_3_link_fraction
R3: whole-tree replace,-2100,0.0,0.0,0.0,0.0
R3: whole-tree replace,-2088,0.0011250110800151531,0.0011250110800151531,0.0,0.0
R3: whole-tree replace,-2076,0.006824934686148656,0.006436199974710092,0.0003887347114385636,0.0
R3: whole-tree replace,-2064,0.020902569292596013,0.017427509628907187,0.003475059663688826,0.0
R3: whole-tree replace,-2052,0.046751805982460405,0.03469241322967928,0.012059392752781126,0.0
R3: whole-tree replace,-2040,0.08677699799014471,0.05876681215008057,0.02801018584006414,0.0
R3: whole-tree replace,-2028,0.141983317584135,0.08910278801434347,0.052880529569791515,0.0
R3: whole-tree replace,-2016,0.21187754455892197,0.1246899514622354,0.08718759309668657,0.0
R3: whole-tree replace,-2004,0.29451674756250834,0.1641364180445723,0.13038032951793607,0.0
R3: whole-tree replace,-1992,0.3867000533637949,0.20528756009318666,0.18141249327060827,0.0
R3: whole-tree replace,-1980,0.48428457624138416,0.24632168335993587,0.23796289288144828,0.0
R3: whole-tree replace,-1968,0.5825943249471954,0.2850169277162327,0.29757739723096266,0.0
R3: whole-tree replace,-1956,0.6768817277186713,0.3195378356423574,0.3573438920763139,0.0
R3: whole-tree replace,-1944,0.7627962223593461,0.34859776317538704,0.41419845918395903,0.0
R3: whole-tree replace,-1932,0.836813661078227,0.37106724443792766,0.4657464166402993,0.0
R3: whole-tree replace,-1920,0.8965841474009357,0.3869684837832051,0.5096156636177306,0.0
R3: whole-tree replace,-1908,0.9411639733016421,0.39656026185872967,0.5446037114429125,0.0
R3: whole-tree replace,-1896,0.9711087641289272,0.40087966237035044,0.5702291017585768,0.0
R3: whole-tree replace,-1884,0.9884186378282495,0.4016209603386611,0.5867976774895883,0.0
R3: whole-tree replace,-1872,0.9963407913005972,0.4004497669431202,0.595891024357477,0.0
R3: whole-tree replace,-1860,0.9990446613931325,0.39971730733852534,0.5993273540546071,0.0
R3: whole-tree replace,-1848,0.9998581366459878,0.399963189369602,0.5998949472763858,0.0
R3: whole-tree replace,-1836,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R3: whole-tree replace,-1824,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R3: whole-tree replace,-1812,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R3: whole-tree replace,-1800,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R3: whole-tree replace,-1788,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R3: whole-tree replace,-1776,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R3: whole-tree replace,-1764,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R3: whole-tree replace,-1752,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R3: whole-tree replace,-1740,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R3: whole-tree replace,-1728,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R3: whole-tree replace,-1716,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R3: whole-tree replace,-1704,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R3: whole-tree replace,-1692,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R3: whole-tree replace,-1680,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R3: whole-tree replace,-1668,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R3: whole-tree replace,-1656,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R3: whole-tree replace,-1644,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R3: whole-tree replace,-1632,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R3: whole-tree replace,-1620,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R3: whole-tree replace,-1608,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R3: whole-tree replace,-1596,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R3: whole-tree replace,-1584,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R3: whole-tree replace,-1572,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R3: whole-tree replace,-1560,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R3: whole-tree replace,-1548,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R3: whole-tree replace,-1536,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R3: whole-tree replace,-1524,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R3: whole-tree replace,-1512,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R3: whole-tree replace,-1500,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R3: whole-tree replace,-1488,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R3: whole-tree replace,-1476,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R3: whole-tree replace,-1464,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R3: whole-tree replace,-1452,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R3: whole-tree replace,-1440,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R3: whole-tree replace,-1428,1.000000482047493,0.400010736370106,0.599989745677387,0.0
