cycle,phase,command,engine_id,vpifo_id,flow_id,data,copied_entries
2002,accepted,UpdateRankQuantum,1,1,1,20,
2003,accepted,UpdateRankQuantum,1,1,2,120,
2004,accepted,UpdateRankQuantum,1,1,6,60,
2004,dispatched,UpdateRankQuantum,1,1,1,20,
2005,accepted,UpdateBrainEngine,2,6,0,2,
2005,dispatched,UpdateRankQuantum,1,1,2,120,
2006,accepted,UpdateRankGroup,1,1,11,6,
2006,dispatched,UpdateRankQuantum,1,1,6,60,
2007,accepted,UpdateBrainEngine,3,11,0,3,
2007,dispatched,UpdateBrainEngine,2,6,0,2,
2008,accepted,UpdateBrainFlowState,2,6,43,1,
2008,dispatched,UpdateRankGroup,1,1,11,6,
2009,accepted,UpdateRankGroup,1,1,12,6,
2009,dispatched,UpdateBrainEngine,3,11,0,3,
2010,accepted,UpdateBrainEngine,3,12,0,3,
2010,dispatched,UpdateBrainFlowState,2,6,43,1,
2011,accepted,UpdateBrainFlowState,2,6,44,2,
2011,dispatched,UpdateRankGroup,1,1,12,6,
2012,accepted,UpdateRankQuantum,1,1,7,60,
2012,dispatched,UpdateBrainEngine,3,12,0,3,
2013,accepted,UpdateBrainEngine,2,7,0,4,
2013,dispatched,UpdateBrainFlowState,2,6,44,2,
2014,accepted,UpdateRankGroup,1,1,13,7,
2014,dispatched,UpdateRankQuantum,1,1,7,60,
2015,accepted,UpdateBrainEngine,3,13,0,3,
2015,dispatched,UpdateBrainEngine,2,7,0,4,
2016,accepted,UpdateRankGroup,2,7,13,13,
2016,dispatched,UpdateRankGroup,1,1,13,7,
2017,accepted,UpdateRankQuantum,2,7,13,120,
2017,dispatched,UpdateBrainEngine,3,13,0,3,
2018,accepted,UpdateRankGroup,1,1,14,7,
2018,dispatched,UpdateRankGroup,2,7,13,13,
2019,accepted,UpdateBrainEngine,3,14,0,3,
2019,dispatched,UpdateRankQuantum,2,7,13,120,
2020,accepted,UpdateRankGroup,2,7,14,14,
2020,dispatched,UpdateRankGroup,1,1,14,7,
2021,accepted,UpdateRankQuantum,2,7,14,120,
2021,dispatched,UpdateBrainEngine,3,14,0,3,
2022,accepted,UpdateMapperPre,1,11,0,1,
2022,dispatched,UpdateRankGroup,2,7,14,14,
2023,accepted,UpdateMapperPost,1,1,27,38,
2023,dispatched,UpdateRankQuantum,2,7,14,120,
2024,accepted,UpdateMapperPre,2,11,0,6,
2024,dispatched,UpdateMapperPre,1,11,0,1,
2025,accepted,UpdateMapperPost,2,6,43,59,
2025,dispatched,UpdateMapperPost,1,1,27,38,
2026,accepted,UpdateMapperPre,3,11,0,11,
2026,dispatched,UpdateMapperPre,2,11,0,6,
2027,accepted,UpdateMapperPost,3,11,59,11,
2027,dispatched,UpdateMapperPost,2,6,43,59,
2028,accepted,UpdateMapperPre,1,12,0,1,
2028,dispatched,UpdateMapperPre,3,11,0,11,
2029,accepted,UpdateMapperPost,1,1,28,38,
2029,dispatched,UpdateMapperPost,3,11,59,11,
2030,accepted,UpdateMapperPre,2,12,0,6,
2030,dispatched,UpdateMapperPre,1,12,0,1,
2031,accepted,UpdateMapperPost,2,6,44,60,
2031,dispatched,UpdateMapperPost,1,1,28,38,
2032,accepted,UpdateMapperPre,3,12,0,12,
2032,dispatched,UpdateMapperPre,2,12,0,6,
2033,accepted,UpdateMapperPost,3,12,60,12,
2033,dispatched,UpdateMapperPost,2,6,44,60,
2034,accepted,UpdateMapperPre,1,13,0,1,
2034,dispatched,UpdateMapperPre,3,12,0,12,
2035,accepted,UpdateMapperPost,1,1,29,39,
2035,dispatched,UpdateMapperPost,3,12,60,12,
2036,accepted,UpdateMapperPre,2,13,0,7,
2036,dispatched,UpdateMapperPre,1,13,0,1,
2037,accepted,UpdateMapperPost,2,7,45,61,
2037,dispatched,UpdateMapperPost,1,1,29,39,
2038,accepted,UpdateMapperPre,3,13,0,13,
2038,dispatched,UpdateMapperPre,2,13,0,7,
2039,accepted,UpdateMapperPost,3,13,61,13,
2039,dispatched,UpdateMapperPost,2,7,45,61,
2040,accepted,UpdateMapperPre,1,14,0,1,
2040,dispatched,UpdateMapperPre,3,13,0,13,
2041,accepted,UpdateMapperPost,1,1,30,39,
2041,dispatched,UpdateMapperPost,3,13,61,13,
2042,accepted,UpdateMapperPre,2,14,0,7,
2042,dispatched,UpdateMapperPre,1,14,0,1,
2043,accepted,UpdateMapperPost,2,7,46,62,
2043,dispatched,UpdateMapperPost,1,1,30,39,
2044,accepted,UpdateMapperPre,3,14,0,14,
2044,dispatched,UpdateMapperPre,2,14,0,7,
2045,accepted,UpdateMapperPost,3,14,62,14,
2045,dispatched,UpdateMapperPost,2,7,46,62,
2046,accepted,UpdateMapperPre,1,3,0,0,
2046,dispatched,UpdateMapperPre,3,14,0,14,
2047,accepted,UpdateMapperPre,1,4,0,0,
2047,dispatched,UpdateMapperPost,3,14,62,14,
2048,accepted,UpdateMapperPre,2,3,0,0,
2048,dispatched,UpdateMapperPre,1,3,0,0,
2049,accepted,UpdateMapperPre,2,4,0,0,
2049,dispatched,UpdateMapperPre,1,4,0,0,
2050,accepted,UpdateMapperPre,3,3,0,0,
2050,dispatched,UpdateMapperPre,2,3,0,0,
2051,accepted,UpdateMapperPre,3,4,0,0,
2051,dispatched,UpdateMapperPre,2,4,0,0,
2052,dispatched,UpdateMapperPre,3,3,0,0,
2053,dispatched,UpdateMapperPre,3,4,0,0,
2062,accepted,CommitMapper,1,0,0,0,
2064,dispatched,CommitMapper,1,0,0,0,
2064,committed,CommitMapper,1,0,0,0,
2065,replayed,UpdateMapperPre,1,11,0,1,
2066,replayed,UpdateMapperPost,1,1,27,38,
2067,replayed,UpdateMapperPre,2,11,0,6,
2068,replayed,UpdateMapperPost,2,6,43,59,
2069,replayed,UpdateMapperPre,3,11,0,11,
2070,replayed,UpdateMapperPost,3,11,59,11,
2071,replayed,UpdateMapperPre,1,12,0,1,
2072,replayed,UpdateMapperPost,1,1,28,38,
2073,replayed,UpdateMapperPre,2,12,0,6,
2074,replayed,UpdateMapperPost,2,6,44,60,
2075,replayed,UpdateMapperPre,3,12,0,12,
2076,replayed,UpdateMapperPost,3,12,60,12,
2077,replayed,UpdateMapperPre,1,13,0,1,
2078,replayed,UpdateMapperPost,1,1,29,39,
2079,replayed,UpdateMapperPre,2,13,0,7,
2080,replayed,UpdateMapperPost,2,7,45,61,
2081,replayed,UpdateMapperPre,3,13,0,13,
2082,replayed,UpdateMapperPost,3,13,61,13,
2083,replayed,UpdateMapperPre,1,14,0,1,
2084,replayed,UpdateMapperPost,1,1,30,39,
2085,replayed,UpdateMapperPre,2,14,0,7,
2086,replayed,UpdateMapperPost,2,7,46,62,
2087,replayed,UpdateMapperPre,3,14,0,14,
2088,replayed,UpdateMapperPost,3,14,62,14,
2089,replayed,UpdateMapperPre,1,3,0,0,
2090,replayed,UpdateMapperPre,1,4,0,0,
2091,replayed,UpdateMapperPre,2,3,0,0,
2092,replayed,UpdateMapperPre,2,4,0,0,
2093,replayed,UpdateMapperPre,3,3,0,0,
2094,replayed,UpdateMapperPre,3,4,0,0,
2096,accepted,GuardDrain,2,4,0,0,
2097,accepted,GuardDrain,3,3,0,0,
2098,accepted,GuardDrain,3,4,0,0,
2099,accepted,UpdateBrainEngine,3,3,0,0,
2100,accepted,UpdateBrainState,3,3,0,0,
